,Locality Name,1 BHk rent range,1 BHk avg rent,2 BHk rent range,2 BHk avg rent,3 BHk rent range,3 BHk avg rent,Latitude,Longitude
1499,Thippasandra,-,-,"23,000 - 25,000",24000,-,-,12.9718,77.6552
1500,Vajarahalli,15000,15000,-,-,-,-,12.8724,77.5339
1501,Vasanthpura,-,-,22000,22000,-,-,12.8982,77.5541
1502,Virat Nagar,"8,000 - 8,400",8200,16500,16500,-,-,12.9041,77.62
1503,Vivek Nagar,11000,11000,14500,14500,-,-,12.9545,77.6191
1504,Voderahalli,5300,5300,-,-,-,-,13.0959,77.5376
1505,Sudhama Nagar,12500,12500,16000,16000,-,-,12.9592,77.5868
1506,Immadihalli,10000,10000,15000,15000,-,-,12.965,77.7595
1507,1st Phase JP Nagar,-,-,22000,22000,-,-,12.9118,77.5795
1508,Akshayanagara West,-,-,"10,999 - 11,000",10999.5,-,-,12.8736,77.6149
1509,Amarajyothi Nagar,10000,10000,15000,15000,-,-,12.9745,77.5268
1510,Ambedkar Veedhi,8000,8000,80000,80000,-,-,12.9753,77.5877
1511,Ashraya Layout Bangalore,13000,13000,-,-,-,-,12.9845,77.7059
1512,Banashankari 3rd Stage Banashankari,11000,11000,"13,500 - 14,500",14000,-,-,12.9345,77.5435
1513,C S B Layout,-,-,15500,15500,-,-,12.9086,77.6754
1514,Chikkathoguru Village,7000,7000,-,-,"15,000 - 17,000",16000,12.8583,77.6493
1515,Chinnapanahalli,"9,500 - 14,500",12000,-,-,26000,26000,12.967,77.7048
1516,Ckikkakammana Halli,14000,14000,-,-,-,-,12.8496,77.6
1517,Dodda Bommasandra,-,-,17000,17000,-,-,13.0605,77.562
1518,Doddathoguru,18000,18000,"15,000 - 20,000",17500,-,-,12.8479,77.6528
